Fecha y Hora de la Venta,ID de la Transacción,Nombre del Producto,Cantidad,Precio de Venta por Unidad (MXN),Precio Total de la Venta (MXN)
2024-01-01 07:04:00,1,Turrón,3,34.0,102.0
2024-01-01 07:59:00,2,Empanada,2,51.0,102.0
2024-01-01 08:17:00,3,Coca-Cola,6,25.5,153.0
2024-01-01 08:27:00,4,Taco,1,34.0,34.0
2024-01-01 08:40:00,5,Gordita,7,42.5,297.5
2024-01-01 08:41:00,6,Coca-Cola,4,25.5,102.0
2024-01-01 08:44:00,7,Nuegado,3,25.5,76.5
2024-01-01 08:46:00,8,Turrón,5,34.0,170.0
2024-01-01 08:54:00,9,Coca-Cola,5,25.5,127.5
2024-01-01 09:14:00,10,Coca-Cola,8,25.5,204.0
2024-01-01 09:15:00,11,Coca-Cola,6,25.5,153.0
2024-01-01 09:24:00,12,Turrón,6,34.0,204.0
2024-01-01 09:26:00,13,Empanada,9,51.0,459.0
2024-01-01 09:32:00,14,Pozol,3,34.0,102.0
2024-01-01 09:34:00,15,Pozol,8,34.0,272.0
2024-01-01 09:44:00,16,Empanada,2,51.0,102.0
2024-01-01 09:58:00,17,Gordita,7,42.5,297.5
2024-01-01 10:06:00,18,Coca-Cola,3,25.5,76.5
2024-01-01 10:08:00,19,Nuegado,3,25.5,76.5
2024-01-01 10:09:00,20,Turrón,6,34.0,204.0
2024-01-01 10:28:00,21,Coca-Cola,10,25.5,255.0
2024-01-01 10:28:00,22,Coca-Cola,5,25.5,127.5
2024-01-01 10:29:00,23,Turrón,10,34.0,340.0
2024-01-01 10:31:00,24,Coca-Cola,2,25.5,51.0
2024-01-01 10:55:00,25,Coca-Cola,9,25.5,229.5
2024-01-01 10:57:00,26,Taco,8,34.0,272.0
2024-01-01 11:06:00,27,Pozol,7,34.0,238.0
2024-01-01 11:34:00,28,Pozol,7,34.0,238.0
2024-01-01 11:44:00,29,Taco,2,34.0,68.0
2024-01-01 11:46:00,30,Pozol,5,34.0,170.0
2024-01-01 12:00:00,31,Coca-Cola,8,25.5,204.0
2024-01-01 12:01:00,32,Pozol,4,34.0,136.0
2024-01-01 12:13:00,33,Nuegado,5,25.5,127.5
2024-01-01 12:15:00,34,Pozol,2,34.0,68.0
2024-01-01 12:30:00,35,Coca-Cola,9,25.5,229.5
2024-01-01 12:43:00,36,Taco,3,34.0,102.0
2024-01-01 12:44:00,37,Empanada,6,51.0,306.0
2024-01-01 12:54:00,38,Gordita,1,42.5,42.5
2024-01-01 12:59:00,39,Taco,9,34.0,306.0
2024-01-01 13:02:00,40,Nuegado,5,25.5,127.5
2024-01-01 13:03:00,41,Turrón,9,34.0,306.0
2024-01-01 13:11:00,42,Taco,8,34.0,272.0
2024-01-01 13:12:00,43,Turrón,8,34.0,272.0
2024-01-01 13:22:00,44,Nuegado,2,25.5,51.0
2024-01-01 13:41:00,45,Turrón,2,34.0,68.0
2024-01-01 14:03:00,46,Gordita,4,42.5,170.0
2024-01-01 14:03:00,47,Coca-Cola,7,25.5,178.5
2024-01-01 14:05:00,48,Turrón,8,34.0,272.0
2024-01-01 14:17:00,49,Gordita,6,42.5,255.0
2024-01-01 14:21:00,50,Gordita,9,42.5,382.5
2024-01-01 14:24:00,51,Nuegado,3,25.5,76.5
2024-01-01 14:29:00,52,Pozol,8,34.0,272.0
2024-01-01 14:30:00,53,Turrón,7,34.0,238.0
2024-01-01 14:44:00,54,Empanada,7,51.0,357.0
2024-01-01 14:52:00,55,Empanada,8,51.0,408.0
2024-01-01 14:54:00,56,Gordita,2,42.5,85.0
2024-01-01 14:57:00,57,Empanada,1,51.0,51.0
2024-01-01 14:59:00,58,Taco,9,34.0,306.0
2024-01-01 15:07:00,59,Empanada,3,51.0,153.0
2024-01-01 15:18:00,60,Coca-Cola,6,25.5,153.0
2024-01-01 15:31:00,61,Turrón,6,34.0,204.0
2024-01-01 15:36:00,62,Pozol,7,34.0,238.0
2024-01-01 16:03:00,63,Empanada,6,51.0,306.0
2024-01-01 16:19:00,64,Pozol,4,34.0,136.0
2024-01-01 16:23:00,65,Coca-Cola,7,25.5,178.5
2024-01-01 16:25:00,66,Empanada,10,51.0,510.0
2024-01-01 16:32:00,67,Nuegado,9,25.5,229.5
2024-01-01 16:35:00,68,Turrón,8,34.0,272.0
2024-01-01 16:46:00,69,Taco,10,34.0,340.0
2024-01-01 16:51:00,70,Turrón,7,34.0,238.0
2024-01-01 16:54:00,71,Gordita,10,42.5,425.0
2024-01-02 07:10:00,72,Gordita,7,42.5,297.5
2024-01-02 07:36:00,73,Nuegado,8,25.5,204.0
2024-01-02 08:02:00,74,Pozol,4,34.0,136.0
2024-01-02 08:25:00,75,Coca-Cola,7,25.5,178.5
2024-01-02 10:04:00,76,Coca-Cola,9,25.5,229.5
2024-01-02 10:13:00,77,Coca-Cola,5,25.5,127.5
2024-01-02 10:18:00,78,Gordita,9,42.5,382.5
2024-01-02 11:14:00,79,Taco,2,34.0,68.0
2024-01-02 11:19:00,80,Gordita,3,42.5,127.5
2024-01-02 11:24:00,81,Nuegado,7,25.5,178.5
2024-01-02 11:35:00,82,Pozol,10,34.0,340.0
2024-01-02 12:11:00,83,Empanada,8,51.0,408.0
2024-01-02 12:16:00,84,Coca-Cola,10,25.5,255.0
2024-01-02 12:28:00,85,Pozol,4,34.0,136.0
2024-01-02 12:49:00,86,Nuegado,1,25.5,25.5
2024-01-02 13:35:00,87,Gordita,9,42.5,382.5
2024-01-02 15:46:00,88,Pozol,5,34.0,170.0
2024-01-02 16:16:00,89,Turrón,9,34.0,306.0
2024-01-03 07:26:00,90,Nuegado,1,25.5,25.5
2024-01-03 07:59:00,91,Gordita,5,42.5,212.5
2024-01-03 08:15:00,92,Empanada,5,51.0,255.0
2024-01-03 08:25:00,93,Coca-Cola,3,25.5,76.5
2024-01-03 08:28:00,94,Coca-Cola,1,25.5,25.5
2024-01-03 08:47:00,95,Taco,7,34.0,238.0
2024-01-03 08:53:00,96,Nuegado,1,25.5,25.5
2024-01-03 09:17:00,97,Turrón,7,34.0,238.0
2024-01-03 09:22:00,98,Pozol,6,34.0,204.0
2024-01-03 09:54:00,99,Nuegado,6,25.5,153.0
2024-01-03 10:16:00,100,Taco,1,34.0,34.0
2024-01-03 10:46:00,101,Nuegado,10,25.5,255.0
2024-01-03 10:56:00,102,Empanada,7,51.0,357.0
2024-01-03 11:07:00,103,Pozol,1,34.0,34.0
2024-01-03 11:16:00,104,Nuegado,1,25.5,25.5
2024-01-03 13:15:00,105,Turrón,2,34.0,68.0
2024-01-03 13:24:00,106,Taco,2,34.0,68.0
2024-01-03 13:43:00,107,Taco,10,34.0,340.0
2024-01-03 13:52:00,108,Coca-Cola,9,25.5,229.5
2024-01-03 14:05:00,109,Nuegado,1,25.5,25.5
2024-01-03 14:11:00,110,Gordita,6,42.5,255.0
2024-01-03 14:15:00,111,Taco,9,34.0,306.0
2024-01-03 14:23:00,112,Pozol,2,34.0,68.0
2024-01-03 14:55:00,113,Taco,9,34.0,306.0
2024-01-03 15:18:00,114,Empanada,3,51.0,153.0
2024-01-03 15:42:00,115,Pozol,5,34.0,170.0
2024-01-03 15:55:00,116,Taco,10,34.0,340.0
2024-01-03 15:57:00,117,Empanada,1,51.0,51.0
2024-01-03 16:38:00,118,Coca-Cola,7,25.5,178.5
2024-01-04 07:03:00,119,Empanada,6,51.0,306.0
2024-01-04 07:05:00,120,Coca-Cola,6,25.5,153.0
2024-01-04 07:06:00,121,Nuegado,3,25.5,76.5
2024-01-04 07:09:00,122,Empanada,10,51.0,510.0
2024-01-04 07:11:00,123,Nuegado,3,25.5,76.5
2024-01-04 07:12:00,124,Coca-Cola,4,25.5,102.0
2024-01-04 07:35:00,125,Empanada,7,51.0,357.0
2024-01-04 07:51:00,126,Coca-Cola,4,25.5,102.0
2024-01-04 07:54:00,127,Empanada,10,51.0,510.0
2024-01-04 08:04:00,128,Pozol,3,34.0,102.0
2024-01-04 08:16:00,129,Gordita,1,42.5,42.5
2024-01-04 08:36:00,130,Taco,7,34.0,238.0
2024-01-04 08:39:00,131,Pozol,9,34.0,306.0
2024-01-04 09:12:00,132,Coca-Cola,1,25.5,25.5
2024-01-04 09:20:00,133,Gordita,8,42.5,340.0
2024-01-04 09:28:00,134,Turrón,6,34.0,204.0
2024-01-04 09:34:00,135,Turrón,5,34.0,170.0
2024-01-04 09:35:00,136,Pozol,5,34.0,170.0
2024-01-04 09:47:00,137,Turrón,2,34.0,68.0
2024-01-04 09:48:00,138,Gordita,4,42.5,170.0
2024-01-04 09:54:00,139,Pozol,8,34.0,272.0
2024-01-04 09:57:00,140,Empanada,1,51.0,51.0
2024-01-04 10:02:00,141,Taco,9,34.0,306.0
2024-01-04 10:05:00,142,Pozol,3,34.0,102.0
2024-01-04 10:06:00,143,Empanada,7,51.0,357.0
2024-01-04 10:11:00,144,Empanada,6,51.0,306.0
2024-01-04 10:15:00,145,Taco,6,34.0,204.0
2024-01-04 10:17:00,146,Turrón,7,34.0,238.0
2024-01-04 10:25:00,147,Turrón,5,34.0,170.0
2024-01-04 10:26:00,148,Nuegado,9,25.5,229.5
2024-01-04 10:39:00,149,Nuegado,5,25.5,127.5
2024-01-04 10:46:00,150,Coca-Cola,3,25.5,76.5
2024-01-04 10:48:00,151,Gordita,6,42.5,255.0
2024-01-04 11:02:00,152,Taco,10,34.0,340.0
2024-01-04 11:09:00,153,Nuegado,2,25.5,51.0
2024-01-04 11:19:00,154,Empanada,5,51.0,255.0
2024-01-04 11:28:00,155,Taco,5,34.0,170.0
2024-01-04 11:31:00,156,Pozol,7,34.0,238.0
2024-01-04 11:33:00,157,Turrón,4,34.0,136.0
2024-01-04 11:34:00,158,Coca-Cola,8,25.5,204.0
2024-01-04 11:39:00,159,Turrón,10,34.0,340.0
2024-01-04 11:51:00,160,Empanada,4,51.0,204.0
2024-01-04 11:53:00,161,Nuegado,8,25.5,204.0
2024-01-04 11:54:00,162,Taco,6,34.0,204.0
2024-01-04 12:13:00,163,Pozol,6,34.0,204.0
2024-01-04 12:47:00,164,Turrón,4,34.0,136.0
2024-01-04 12:49:00,165,Turrón,10,34.0,340.0
2024-01-04 12:49:00,166,Pozol,4,34.0,136.0
2024-01-04 12:58:00,167,Turrón,7,34.0,238.0
2024-01-04 13:06:00,168,Gordita,1,42.5,42.5
2024-01-04 13:14:00,169,Turrón,1,34.0,34.0
2024-01-04 13:14:00,170,Turrón,1,34.0,34.0
2024-01-04 13:27:00,171,Taco,8,34.0,272.0
2024-01-04 13:41:00,172,Pozol,3,34.0,102.0
2024-01-04 13:49:00,173,Pozol,5,34.0,170.0
2024-01-04 13:50:00,174,Turrón,8,34.0,272.0
2024-01-04 13:58:00,175,Turrón,1,34.0,34.0
2024-01-04 14:01:00,176,Coca-Cola,1,25.5,25.5
2024-01-04 14:01:00,177,Taco,6,34.0,204.0
2024-01-04 14:06:00,178,Turrón,7,34.0,238.0
2024-01-04 14:11:00,179,Gordita,3,42.5,127.5
